id	companyCode	capital	smaDays	trendStrength
214	ABB	10000	40	19
215	ABB	10000	50	19
216	ABB	10000	60	19
217	ABB	10000	70	19
218	ABB	10000	80	19
219	ABB	10000	90	19
220	ABB	10000	100	19
221	ABB	10000	110	19
222	ABB	10000	120	19
223	ABB	10000	130	19
224	ABB	10000	140	19
225	ABB	10000	150	19
226	ABB	10000	10	20
227	ABB	10000	20	20
228	ABB	10000	30	20
229	ABB	10000	40	20
230	ABB	10000	50	20
231	ABB	10000	60	20
232	ABB	10000	70	20
233	ABB	10000	80	20
234	ABB	10000	90	20
235	ABB	10000	100	20
236	ABB	10000	110	20
237	ABB	10000	120	20
238	ABB	10000	130	20
239	ABB	10000	140	20
240	ABB	10000	150	20
241	ASIANPAINT	10000	10	5
242	ASIANPAINT	10000	20	5
243	ASIANPAINT	10000	30	5
244	ASIANPAINT	10000	40	5
245	ASIANPAINT	10000	50	5
246	ASIANPAINT	10000	60	5
247	ASIANPAINT	10000	70	5
248	ASIANPAINT	10000	80	5
249	ASIANPAINT	10000	90	5
250	ASIANPAINT	10000	100	5
251	ASIANPAINT	10000	110	5
252	ASIANPAINT	10000	120	5
253	ASIANPAINT	10000	130	5
254	ASIANPAINT	10000	140	5
255	ASIANPAINT	10000	150	5
256	ASIANPAINT	10000	10	6
257	ASIANPAINT	10000	20	6
258	ASIANPAINT	10000	30	6
259	ASIANPAINT	10000	40	6
260	ASIANPAINT	10000	50	6
261	ASIANPAINT	10000	60	6
262	ASIANPAINT	10000	70	6
263	ASIANPAINT	10000	80	6
264	ASIANPAINT	10000	90	6
265	ASIANPAINT	10000	100	6
266	ASIANPAINT	10000	110	6
267	ASIANPAINT	10000	120	6
268	ASIANPAINT	10000	130	6
269	ASIANPAINT	10000	140	6
270	ASIANPAINT	10000	150	6
271	ASIANPAINT	10000	10	7
272	ASIANPAINT	10000	20	7
273	ASIANPAINT	10000	30	7
274	ASIANPAINT	10000	40	7
275	ASIANPAINT	10000	50	7
276	ASIANPAINT	10000	60	7
277	ASIANPAINT	10000	70	7
278	ASIANPAINT	10000	80	7
279	ASIANPAINT	10000	90	7
280	ASIANPAINT	10000	100	7
281	ASIANPAINT	10000	110	7
282	ASIANPAINT	10000	120	7
283	ASIANPAINT	10000	130	7
284	ASIANPAINT	10000	140	7
285	ASIANPAINT	10000	150	7
286	ASIANPAINT	10000	10	8
287	ASIANPAINT	10000	20	8
288	ASIANPAINT	10000	30	8
289	ASIANPAINT	10000	40	8
290	ASIANPAINT	10000	50	8
291	ASIANPAINT	10000	60	8
292	ASIANPAINT	10000	70	8
293	ASIANPAINT	10000	80	8
294	ASIANPAINT	10000	90	8
295	ASIANPAINT	10000	100	8
296	ASIANPAINT	10000	110	8
297	ASIANPAINT	10000	120	8
298	ASIANPAINT	10000	130	8
299	ASIANPAINT	10000	140	8
300	ASIANPAINT	10000	150	8
301	ASIANPAINT	10000	10	9
302	ASIANPAINT	10000	20	9
